date,realtime_end,realtime_start,value
1991-03-01,2019-09-15,2019-09-15,134.8
1991-04-01,2019-09-15,2019-09-15,135.1
1991-05-01,2019-09-15,2019-09-15,135.6
1991-06-01,2019-09-15,2019-09-15,136.0
1991-07-01,2019-09-15,2019-09-15,136.2
1991-08-01,2019-09-15,2019-09-15,136.6
1991-09-01,2019-09-15,2019-09-15,137.0
1991-10-01,2019-09-15,2019-09-15,137.2
1991-11-01,2019-09-15,2019-09-15,137.8
1991-12-01,2019-09-15,2019-09-15,138.2
1992-01-01,2019-09-15,2019-09-15,138.3
1992-02-01,2019-09-15,2019-09-15,138.6
1992-03-01,2019-09-15,2019-09-15,139.1
1992-04-01,2019-09-15,2019-09-15,139.4
1992-05-01,2019-09-15,2019-09-15,139.7
1992-06-01,2019-09-15,2019-09-15,140.1
1992-07-01,2019-09-15,2019-09-15,140.5
1992-08-01,2019-09-15,2019-09-15,140.8
1992-09-01,2019-09-15,2019-09-15,141.1
1992-10-01,2019-09-15,2019-09-15,141.7
1992-11-01,2019-09-15,2019-09-15,142.1
1992-12-01,2019-09-15,2019-09-15,142.3
1993-01-01,2019-09-15,2019-09-15,142.8
1993-02-01,2019-09-15,2019-09-15,143.1
